"subject","activity","angle.Y.gravityMean.","angle.Z.gravityMean."
1,"WALKING",0.276953023473684,0.0688589119894737
1,"WALKING_UPSTAIRS",0.334763277358491,0.0741663682075472
1,"WALKING_DOWNSTAIRS",0.267245784693878,0.0650047072244898
1,"SITTING",-0.0604660253808511,-0.218017225106383
1,"STANDING",0.270175032830189,0.0122528503773585
1,"LAYING",-0.52034381798,-0.35241310896
2,"WALKING",0.321443011864407,-0.0368892833067797
2,"WALKING_UPSTAIRS",0.373749042708333,0.165147457953125
2,"WALKING_DOWNSTAIRS",0.311800312978723,0.0537293985574468
2,"SITTING",0.155857278304348,-0.118224398621739
2,"STANDING",0.337937911666667,-0.0678959805833333
2,"LAYING",-0.519732551458333,-0.478928233958333
3,"WALKING",0.262491889655172,0.117403280068966
3,"WALKING_UPSTAIRS",0.346985015762712,0.134293701288136
3,"WALKING_DOWNSTAIRS",0.240927177346939,0.0932212612040816
3,"SITTING",-0.00632480140384615,-0.0783934904807692
3,"STANDING",0.289824125737705,0.00457098377868852
3,"LAYING",-0.630062847096774,-0.346243070483871
4,"WALKING",0.1425101785,-0.0675179863833333
4,"WALKING_UPSTAIRS",0.243389231923077,-0.0368022039115385
4,"WALKING_DOWNSTAIRS",0.1265381706,-0.0832015467555555
4,"SITTING",-0.07099878796,-0.0563298907436
4,"STANDING",0.135778706071429,-0.0951347515892857
4,"LAYING",-0.763217167407407,-0.229790432925926
5,"WALKING",0.152461602857143,0.02003381474925
5,"WALKING_UPSTAIRS",0.266611003404255,0.0378686889744681
5,"WALKING_DOWNSTAIRS",0.125876924702128,0.00648109544829787
5,"SITTING",-0.0384493972045455,-0.0806862754545455
5,"STANDING",0.110446445178571,-0.0754509648214286
5,"LAYING",-0.825299860384615,-0.168146326730769
6,"WALKING",0.230443600877193,-0.00130364271742105
6,"WALKING_UPSTAIRS",0.318508028823529,0.0345334914843137
6,"WALKING_DOWNSTAIRS",0.232771541666667,0.0239615746072917
6,"SITTING",0.0360512934927273,-0.02782276988
6,"STANDING",0.240854577192982,0.0121273275736842
6,"LAYING",-0.874567701929825,-0.106624418668421
7,"WALKING",0.192339300350877,0.135380525087719
7,"WALKING_UPSTAIRS",0.248699244117647,0.312061603254902
7,"WALKING_DOWNSTAIRS",0.17298945106383,0.1316399086
7,"SITTING",0.079731682625,-0.02380785876875
7,"STANDING",0.164011262264151,0.0579886623962264
7,"LAYING",-0.207518642153846,-0.808553756346154
8,"WALKING",0.231918891041667,0.153861202291667
8,"WALKING_UPSTAIRS",0.285922798780488,0.160697390356098
8,"WALKING_DOWNSTAIRS",0.213262025526316,0.123085450154737
8,"SITTING",-0.0866948140826087,-0.169509303978261
8,"STANDING",0.145565477037037,0.0905212998148148
8,"LAYING",-0.400681373333333,-0.601885211481481
9,"WALKING",0.105281462134615,0.103849947479269
9,"WALKING_UPSTAIRS",0.109375558383673,0.212332932142857
9,"WALKING_DOWNSTAIRS",0.1080891515,0.0810164383095238
9,"SITTING",0.1131528324,-0.041913115972
9,"STANDING",0.0909985561777778,0.0154296719333333
9,"LAYING",0.1707890725,-0.873649367
10,"WALKING",0.141082256018868,-0.0165720954830189
10,"WALKING_UPSTAIRS",0.121840871425532,0.00579155151340426
10,"WALKING_DOWNSTAIRS",0.128310641026316,-0.00811530789386842
10,"SITTING",0.108799259925926,-0.121936849888889
10,"STANDING",0.112597078427273,-0.00256864090227273
10,"LAYING",0.213834852672414,0.105926376896552
11,"WALKING",0.228650907627119,-0.0716213475762712
11,"WALKING_UPSTAIRS",0.321428288888889,-0.0805376936666667
11,"WALKING_DOWNSTAIRS",0.221263763913043,-0.0709612617173913
11,"SITTING",-0.0686398358490566,-0.112035600849057
11,"STANDING",0.201762944893617,-0.0668709773829787
11,"LAYING",-0.813130779824561,-0.0593468643842105
12,"WALKING",0.1903506524,0.04684284012
12,"WALKING_UPSTAIRS",0.261185188461538,0.0705748215448077
12,"WALKING_DOWNSTAIRS",0.206774836956522,0.0610767198478261
12,"SITTING",0.0252192275666667,-0.0422271070156863
12,"STANDING",0.232979146393443,0.0491145447693443
12,"LAYING",-0.6500380555,-0.213235641316667
13,"WALKING",0.277956892631579,0.113777056904404
13,"WALKING_UPSTAIRS",0.330945829818182,0.1690195284
13,"WALKING_DOWNSTAIRS",0.228575047234043,0.0880783817580851
13,"SITTING",0.0119882938979592,-0.0324103521183673
13,"STANDING",0.247241071929825,0.0582448749219298
13,"LAYING",-0.475624695645161,-0.477526561935484
14,"WALKING",0.269740565084746,0.325065094745763
14,"WALKING_UPSTAIRS",0.311607140555556,0.390444368518519
14,"WALKING_DOWNSTAIRS",0.266238826444444,0.303781233333333
14,"SITTING",0.108708410814815,0.0892149622222222
14,"STANDING",0.2380634805,0.260358891666667
14,"LAYING",-0.277020596862745,-0.68876681
15,"WALKING",0.243545333703704,-0.0307724957055556
15,"WALKING_UPSTAIRS",0.300676034583333,-0.0346700269020833
15,"WALKING_DOWNSTAIRS",0.200250656666667,-0.034021550472619
15,"SITTING",-0.0659028501152542,0.019615626
15,"STANDING",0.196111096792453,-0.0231407098028302
15,"LAYING",-0.719412830416667,0.0489176476388889
16,"WALKING",0.129418360588235,0.174356318431373
16,"WALKING_UPSTAIRS",0.138773099601961,0.293497544705882
16,"WALKING_DOWNSTAIRS",0.123723224093617,0.180955706382979
16,"SITTING",0.142999748768116,-0.0411259984489855
16,"STANDING",0.123302384871795,0.138687314961538
16,"LAYING",0.0982209111428571,-0.756497965428571
